labels,text
national,ছত্তিশগড়ের শীর্ষ আমলাকে গ্রেপ্তার করল ইডি
kolkata,সর্বজনীন থেকে বিশ্বজনীন হতে ডাক
entertainment,"শাহিদের ঠোঁটে ঠোঁট রেখে  চুম্বন, ছবি ফাঁস হতেই সংবাদপত্রের বিরুদ্ধে ২০ কোটির  মামলার হুমকি দেন করিনা"
editorial,পরিবর্তনের ডাক
editorial,কী দ্বিধা রেখে
editorial,রক্তের টিপছাপ! ভোটের দিন আরও প্রকট হয় শৃঙ্খলাহীনতার দিকটি
national,ভয়াবহ আগুন গুয়াহাটিতে
national,"ত্রিপুরাতে বিজেপি ফের ক্ষমতায়, সাফল্য বিরোধী ভোট ভাগেই"
national,"‘কট্টরপন্থী বাংলাদেশী’দের ভিড়, হিন্দুরা ছাড়ছে পশ্চিমবঙ্গ: সিনেমার ট্রেলার বিতর্ক"
state,মমতা বিজেপি’র ‘স্পেশাল পারপাস ভেহিকল’: সেলিম
editorial,প্রবেশিকা সংবাদ
lifestyle,"নানা রঙে ভরা ৩টি জায়গা, পুজোর সময়ে ঘুরে আসুন, ছুটি ভাল কাটবেই"
international,মারা গেলেন বিশ্বের সবচেয়ে প্রবীণ ব্যক্তি
international,পশ্চিমা সাহায্যের জন্য ইউক্রেনের কৃতজ্ঞতা প্রকাশ করা উচিৎ- বলছেন ব্রিটিশ প্রতিরক্ষামন্ত্রী
politics,সিসিইউতে খালেদা জিয়া
politics,মির্জা ফখরুলকে করা প্রশ্নের উত্তর পাননি ওবায়দুল কাদের
politics,নাটকের অবসান! অবশেষে কর্ণাটকের মুখ্যমন্ত্রীর নাম ঘোষণা দলীয় হাইকামান্ডের
politics,সাকা চৌধুরীর বাড়িতে 'রাজাকার হিল' সাইনবোর্ড
sports,"সুপ্রভাত, আজ: কী হচ্ছে, কী হবে, নজরে ৫"
technology,"Redmi 12 Series: ভারতে হাজির রেডমি ১২ সিরিজ, লঞ্চ হয়েছে দুটো বাজেট ফ্রেন্ডলি ফোন, দাম কত?"
lifestyle,ডায়াবিটিস আছে বলে ফল খান না? কোনগুলি খেলে সমস্যা হওয়ার কথা নয়?
state,"মামলা বিচারাধীন, তবু পঞ্চায়েতের বোর্ড গড়তে নির্দেশিকা রাজ্যের"
politics,"উপত্যাকার রাজনীতিতে নয়া মোড়, ফের হাত ধরলেন আজাদ ঘনিষ্ঠ শীর্ষ নেতারা"
lifestyle,"শ্যাম্পু করার আগে চুলে তেল তো মাখছেন, কিন্তু তৈলাক্ত চুলে শ্যাম্পু করার  নিয়ম মানছেন তো?"
state,"আশাবুল মোল্লার নতুন এক স্ত্রীর সন্ধান, পুলিশের সন্দেহ তার বিবাহিত স্ত্রীর সংখ্যা পঞ্চাশের বেশি!"
sports,উসাইন বোল্ট খেলতে চান আইপিএলে
kolkata,পড়ুয়াদের দ্বিতীয় ডোজ় দিতে তৈরি শহরের স্কুলগুলি
state,অ্যাডিনো রুখতে নির্দেশিকা রাজ্যের
kolkata,"গণধর্ষণের শিকার তরুণীকে এ বার ধর্ষণের হুমকি সমাজমাধ্যমে, অভিযোগ নরেন্দ্রপুর থানায়"
state,"Anubrata-Sukanya: ব্যক্তিগত কারণ দর্শিয়ে এড়ালেন  ইডি-র হাজিরা, দিল্লি গেলেন না অনুব্রত কন্যা"
lifestyle,"বাড়িতে তৈরি কোন কোন খাবার পোষ্যকে খাওয়ানো যাবে, বাদ দেবেন কী কী"
sports,"বিদেশি নয়, দেশি ক্রিকেটারের মাথাতেই উঠবে কমলা টুপি! চার ভারতীয় ক্রিকেটার বাছলেন সহবাগ"
technology,"Tata Motors: শীঘ্রই আরও দামি হবে টাটার এই গাড়িগুলি,এই দিন থেকে বাড়বে মূল্য"
entertainment,"ছবির মুক্তি নিয়ে চূড়ান্ত ধোঁয়াশা, আইপিএল ফাইনালেই কি অবশেষে আত্মপ্রকাশ করবে ‘জওয়ান’?"
international,জ্বিন তাড়ানোর ঝাড়-ফুঁকের নামে  আফ্রিকায় নারীদের যৌন নির্যাতন
editorial,দখলদারি
technology,"এবার শুক্র, বৃহস্পতি, নেপচুনে যেতে চায় মহাকাশ বিজ্ঞানীরা"
technology,Vivo Smartphones: ভিভো ভি২৯ এবং ভিভো ভি২৯ প্রো- কেমন হবে এই দুই ৫জি ফোনের ডিসপ্লে? চার্জিং ফিচারই বা কেমন?
technology,"কবে চালু হতে চলেছে 6G পরিষেবা, মিলল বড়সড় আপডেট"
lifestyle,"রশ্মিকার মতো চেহারা চান?  খেতে পারেন নায়িকার পছন্দের  আক্কি রুটি, কী ভাবে বানাবেন?"
kolkata,মজুত থাকা বাজিই কি ফাটল ছটে?
editorial,নির্যাতনের পরে
kolkata,"রাষ্ট্রপতির সফরকালে কলকাতার একাধিক রাস্তায় যান চলাচল নিয়ন্ত্রণ, মঙ্গলে কোন পথে যাবেন?"
sports,"রোহিত, বিরাটহীন ভারতীয় দলে শুক্রবার হবে একাধিক বদল, অশ্বিন ছাড়াও সুযোগ পেতে পারেন কারা?"
kolkata,"শিয়ালদহের কাছে ভেঙে পড়ল পুরনো বাড়ির একাংশ, বাড়ি ফাঁকা থাকায় রক্ষা"
lifestyle,"৫০০ টাকার মধ্যেই পাবেন চিকন-বাটিকের কুর্তি, পুজোর বাজার করতে যাবেন কোথায়, জানেন কি?"
state,উপাচার্য নিয়োগে সার্চ কমিটি গঠনে বিল পাশ
technology,Nokia 5.1 Plus এর ইউএসপি: ৪০০ জিবি মেমোরি সঙ্গে ২৪০ জিবি ডেটা ফ্রি?
national,নীতীশ-কংগ্রেস কথা বৃহৎ বিরোধী ঐক্য গড়তে বৈঠক শীঘ্রই
state,ঋষি অরবিন্দের স্মৃতি সৌধে চলছে মদের ব্যবসা
sports,"সুপ্রভাত, আজ: কী হচ্ছে, কী হবে, নজরে ৯"
state,Duttapukur: দত্তপুকুর বিস্ফোরণের পর 'নিখোঁজ' মুর্শিদাবাদের কয়েকজন শ্রমিক
state,"Jagadhatri Puja: জগদ্ধাত্রী পুজোয় নিরাপত্তা নিয়ে তৎপর প্রশাসন, প্রকাশিত হলো গাইড ম্যাপ"
technology,"বিশ্ববাজারে লঞ্চ হল Xiaomi 12 সিরিজ, জেনে নিন দাম এবং ফিচার"
kolkata,"বেহালা বিমানবন্দরের রানওয়ের পাশে আগুন, রক্ষণাবেক্ষণ নিয়ে প্রশ্ন"
sports,"বিশ্বকাপে বাবরদের সঙ্গে ভারতে আসতে পারেন বিশেষ এক জন, কাকে পাঠাতে চান পাক কর্তারা?"
national,"কাশ্মীরে সরকারি কর্মচারিদের বেতন বন্ধ, ক্ষোভ তারিগামির"
kolkata,"অচেনা যুবককে চোর সন্দেহে গণপিটুনি, মৃত্যু"
international,"ভিনিশিয়াসকে 'বানর' বলে গালি, বর্ণবাদী আচরণে সমালোচনার ঝড়"
sports,"সচিন-পুত্রের অন্তর্ধান রহস্য! লখনউ ম্যাচের আগে ফিরলেন দলে, কী হয়েছিল অর্জুন তেন্ডুলকরের?"
state,"Panchayat Election: আক্রান্ত হয়েছিলেন ভোটের দিন, কলকাতার হাসপাতালে মৃত্যু তৃণমূল কর্মীর"
politics,"‘মোদী শুধু ফ্যাশনের পূজারী’, পোশাক নিয়ে খোঁচা প্রাক্তন বিশ্বজয়ী ক্রিকেটারের, পাল্টা বিজেপির"
politics,"মমতার বাংলাতেই রয়েছে ‘পাপ্পু’, মহুয়াকে শোনালেন মোদীর মন্ত্রী"
technology,"ডাউনলোড গতিতে কে এগিয়ে? ভোডাফোন, এয়ারটেল, নাকি জিও?"
national,"ওড়িশায় মালগাড়ি লাইনচ্যুত, নিহত চার!"
editorial,তিনি বৃদ্ধ হইলেন
entertainment,হাসপাতালে পরীমনি
sports,"এশিয়া কাপের শুরুতেই ধাক্কা বাংলাদেশের, শ্রীলঙ্কার কাছে ৫ উইকেটে হার শাকিবদের"
technology,টাকা লেনদেন করা যাবে WhatsApp থেকেই! কীভাবে পেমেন্ট করবেন?
kolkata,"ডেঙ্গি রুখতে বছরভর কাজের ভাবনা দক্ষিণ দমদমে, থাকছে প্রশ্নও"
lifestyle,"গরুর দুধ সহ্য হয় না শিশুর, তাহলে উপায় কী? জানালেন বিশেষজ্ঞ"
technology,কবে আসছে Motorola Edge 20 Pro? সামনে এল দিনক্ষণ
state,জলে ডুবে দুই কিশোরের মৃত্যু নিমতায়
state,"সরকার ব্যবস্থা নেয়নি বলেই অশান্তি,সালকিয়ায় বিমান বসু"
entertainment,কর্ণ জোহরের নতুন সপ্তাহের অতিথি হয়ে আসতে চলেছেন গৌরী! সঙ্গী শাহরুখ খান?
state,বীরভূমে মহামিছিল
lifestyle,শিশু কাঁদলেই হাতে  তুলে দিচ্ছেন প্লাস্টিকের খেলনা? অজান্তেই  ডেকে আনছেন বিপদ
state,"খুনের মামলা দায়ের করতে হবে, যাতে কেউ র‌্যাগিংয়ের সাহস না পায়: সেলিম"
entertainment,পরীমনিকে ধর্ষণচেষ্টা: অমিসহ ৩ জনের নামে পাসপোর্ট আইনে মামলা
international,"গ্রিসে জয়ী শাসক দলই, কমিউনিস্টদের ভালো ফল"
technology,WhatsApp-এ দুর্গাপুজোর নতুন স্টিকার! শুভেচ্ছা জানান আপনার প্রিয়জনকে
editorial,"দুর্বার, বার বার"
technology,"Oppo Smartphones: ভারতে আসছে ওপ্পো রেনো ১০ ৫জি সিরিজ, কবে লঞ্চের সম্ভাবনা? কোন কোন ফোন লঞ্চ হতে পারে?"
lifestyle,আবহাওয়ার পরিবর্তনই কি ত্বকের বেহাল দশার কারণ? জবাব দিলেন বিশেষজ্ঞরা
sports,"প্রথম ইনিংস শেষ ১৭৪ রানে, শাহবাজ়-অভিষেকের অর্ধশতরানের পরেও রঞ্জি ফাইনালে চাপে বাংলা"
politics,"দিনভর বাঁচার লড়াইয়ের ইতি, গুলিবিদ্ধ ওড়িশার স্বাস্থ্যমন্ত্রী প্রয়াত"
state,মন খারাপ করা দুপুরআর ষষ্ঠীপদ চট্টোপাধ্যায়
national,জাতীয় দলের স্বীকৃতি খোয়ালো তৃণমূল
technology,জেনে নিন কীভাবে প্যানের সঙ্গে আধারের লিংক করবেন সহজ উপায়ে
editorial,আর্থিক বৃদ্ধির রাস্তায় ফিরতে গেলে বাজেটে অনেকগুলো স্বচ্ছতা জরুরি
national,রাজস্থানে বিশাল কৃষক সমাবেশ
international,"রাশিয়ায় আবার ড্রোন হামলা, মস্কোর বহুতল ভবন ক্ষতিগ্রস্ত"
international,কোভিড: বিশ্বে শনাক্ত ও মৃত্যু কমেছে
kolkata,"ল্যাম্পপোস্টে হাত দিতেই বিদ্যুৎস্পৃষ্ট, হরিদেবপুরে মৃত্যু ১২ বছরের শিশুর"
politics,"রাহুলের ধারাবাহিকতার অভাব আছে, ‘ভারত জোড় যাত্রা’ নিয়ে নাম না-করে কটাক্ষ শাহর"
sports,অস্ট্রেলিয়াকে দ্বিতীয় ম্যাচেও হারাল বাংলাদেশ
national,সায়েন্স কংগ্রেসে প্রদর্শীত হতে চলেছে আদিবাসী ছাত্রদের তৈরি করা প্রকল্প
editorial,Netaji Subhas Chandra Bose: বাঙালিও তাঁকে চিনতে চায়নি
technology,"Android Scam: ChatGPT বা ইউটিউব প্রিমিয়াম- এইসব অ্যাপের আড়ালে লুকিয়ে প্রতারণার ফাঁদ, সতর্ক করল কেন্দ্র"
international,ভারতে মাঙ্কিপক্সের দ্বিতীয় রোগী শনাক্ত
national,গুলমার্গে তুষার ঝড়ে মৃত ২ পোল্যান্ডের বাসিন্দা
national,মোদীকে পথে বসিয়েছে মুডিজ
editorial,সম্পাদক সমীপেষু: সরকারি স্কুল
lifestyle,"আরপি গোয়েনকা ইন্টারন্যাশনাল স্কুল খুলছে শহরে, উদ্যোগী শাশ্বত  ও শিভিকা গোয়েনকা"
national,২৭ মার্চ বিলকিসের আবেদন শুনবে সুপ্রিম কোর্ট
state,এবার উত্তেজনা রিষড়ায়ফের আক্রান্ত শ্রমজীবী
sports,আবারও টস হেরে ফিল্ডিংয়ে বাংলাদেশ
kolkata,আলাপনের নাম করে  হুমকি চিঠি-কাণ্ডে গ্রেফতার হলেন এক চিকিৎসক-সহ তিন জন
national,কেজরিওয়ালের ডান হাত শিশোদিয়াকে গ্রেপ্তার করে কী বার্তা দিচ্ছে বিজেপি?
politics,"উথাল-পাথাল অন্ধ্র রাজনীতি, চন্দ্রবাবুর পর কড়া পদক্ষেপ টিডিপি বিধায়কদের বিরুদ্ধে, ধরপাকড় সমর্থকদেরকেও"
editorial,শাসকের পছন্দের হাতিয়ারই আজ উল্টো দিকের অস্ত্র হয়ে উঠছে
technology,গ্রাহকদের সুবিধা দিতে রিচার্জ প্ল্যান আপডেট করল বিএসএনএল
technology,"Flipkart Diwali Sale: মোটোরোলার ফোন কিনতে চান, ফ্লিপকার্টে পাবেন কম দামে, চলছে বিগ দিওয়ালি সেল"
national,"কর্নাটকে নাটক শেষ, তবে রয়েই গেল কংগ্রেসের সঙ্কট"
entertainment,বাবা হারা‌লেন অ‌মিতাভ রেজা চৌধুরী
editorial,লন্ডন ডায়েরি
lifestyle,একা বেড়াতে যাবেন? দেশের কোন ৩ শহর ‘সোলো ট্রিপ’-এর জন্য বেছে নিতে পারেন মহিলারা
lifestyle,উৎসবের মরসুমে চলবে দেদার খাওয়া-দাওয়া! তারই মাঝে মিষ্টিতে লাগাম টানবেন কী করে?
state,বিজেপি’র শিক্ষানীতি মেনে তিন ভাষা সূত্র প্রয়োগ করছে রাজ্য
state,"প্রশাসন দায়িত্ব না নিলে মানুষই নেবে, জানিয়ে দিল বামফ্রন্ট"
politics,"নেতৃত্বের সঙ্গে ভাগবতের বৈঠক স্রেফ আরএসএসের ভাঁওতাবাজি, অভিযোগ মুসলিম নেতাদের একাংশের"
state,"মদ ভেবে বিষ পান, এক ছাত্রের মৃত্যু, আশঙ্কাজনক ৪"
technology,Whatsapp New Upcoming Feature: হোয়াটসঅ্যাপে মেসেজ ফরওয়ার্ড করার সময়েই তৈরি করা যাবে গ্রুপ! আসছে নতুন ফিচার
sports,সালাহের ব্যর্থতায় হার লিভারপুলের
technology,"বাজারে আসছে OnePlus-এর নতুন স্মার্টফোন, জানুন এর আকর্ষণীয় ফিচার্স"
sports,রেকর্ডবইয়ে তোলপাড় হালান্ডের
editorial,যাঁদের ভোট থেকেও নেই
international,জাপানে সুনামির আঘাত
national,"মসজিদে ‘জয় শ্রী রাম’ বলানোর অভিযোগ, মেজরকে সরাল ভারতীয় সেনা"
state,র‌্যাগিংয়ের বদলে যাদবপুরই আক্রমণের লক্ষ্য বিজেপি’র মিছিলে
state,রাজ্য বাঁচাতে ঐক্যবদ্ধ হতে হবে সবাইকে : মীনাক্ষী মুখার্জি
kolkata,"সংক্রমণের লাফ দেখেও মাস্কে অনীহা শহরের, শঙ্কিত চিকিৎসকেরা"
national,রাহুল গান্ধী ফের আমেঠি থেকে প্রতিদ্বন্দিতা করবেন : অজয় রাই
state,ডানকুনিতে প্লাস্টিক কারখানায় অগ্নিকাণ্ড
entertainment,জীবনে প্রথম বার নায়িকা হলেন ষাটে! মাকে দেখে ফ্যাশন ছেড়ে অভিনয়ে মন দেন মাসাবাও
entertainment,লক্ষ্য কি এ বার বলিউড? পেশি ফুলিয়ে নতুন চেহারা প্রকাশ্যে আনলেন মহেশ বাবু!
international,গাজা ইজরায়েল সংঘর্ষের পরিপ্রেক্ষিতে মুসলিম সঞ্চালককে সরালো মার্কিন মিডিয়া
international,হিজাব পরা মেয়ে একদিন ভারতের প্রধানমন্ত্রী হবে: ওয়েইসি
state,প্রয়াত কাটোয়ার প্রাক্তন বিধায়ক ডাঃ হরমোহন সিংহ
technology,"জ্বালানীর দাম বেড়েছে, তাতে কী! জলে চলবে গাড়ি"
national,ভারতে এবারে  গরুর মাংস বহন করে গণপিটুনির শিকার দুই দলিত
sports,"কুস্তিগিরদের পাশে ভারত, পিছিয়ে যাবে এশিয়ান গেমসের দল নির্বাচন?"
politics,"‘দিল্লির ৭০ শতাংশ বাসিন্দাকে ভিটেছাড়া করার ছক BJP-র’, শাহকে কড়া চিঠি সিসোদিয়ার"
lifestyle,সন্ধে ৭টার পর কোন ৫টি কাজ করলে জীবনে বড় বদল আসবে?
state,"Panchayat Election: তৃণমূলের দখলেই মুর্শিদাবাদ জেলা পরিষদ, সভাপতির পদ নিয়ে চলছে জোর জল্পনা"
national,"'গরিব, বঞ্চিতকেও শামিল কর শান্তি আন্দোলনে'"
sports,"নতুন ক্লাবে টানা পাঁচ  ম্যাচে গোল মেসির,  লিগস কাপের সেমিফাইনালে  তুলে দিলেন মায়ামিকে"
national,"আচার্য পদে শিক্ষাবিদরাই, বিল আসছে কেরালায়"
international,'এই গ্রামের সবাই মৃত অথবা নিখোঁজ'
lifestyle,"পেটের সমস্যা, ডায়াবিটিস  থেকে রক্তে কোলেস্টেরল, সব জব্দ হবে এক ফলে"
entertainment,অবশেষে ঢাকায় নোরা ফাতেহি
state,"পদযাত্রায় ভয় ভাঙছে, জোর বাড়ছে দাবির"
technology,দিওয়ালি উপলক্ষে Flipkart দিচ্ছে স্মার্টফোন-ল্যাপটপের উপর বড় ছাড়!
technology,হোয়াটসঅ্যাপ মেসেজ কোন ভুয়ো আর কোনটা সত্যি যাচাই করুন নিজেই
sports,কেন লিটন দাস কলকাতা নাইট রাইডার্স একাদশে সুযোগ পাচ্ছেন না
editorial,দৈনন্দিন সংস্কৃতি
entertainment,জায়েদ খান মঞ্চে উঠতেই ‘ভুয়া’ চিৎকার দর্শকের
technology,"চন্দ্রযান-৩-এর উৎক্ষেপণের মহড়া শেষ! ইতিহাস সৃষ্টির পথে ISRO, অপেক্ষা মাত্র কয়েক ঘন্টার"
national,কান্তিরাভায় শপথ নিলেন সিদ্দরামাইয়া
editorial,অ-রক্ষিত
editorial,পুনর্বণ্টনের গুরুত্ব অনস্বীকার্য
kolkata,"‘প্রভাবশালী’ অর্পিতার ঘরই স্কুলে বেআইনি নিয়োগের দুর্নীতির কেন্দ্র, কোর্টে বলল ইডি"
technology,"১০৮ এমপি ক্যামেরা, দারুণ স্টাইল! পুজোতেই বাজার কাঁপাতে আসছে Motorola G72"
lifestyle,"৮ পুরুষের সঙ্গে এগারো সন্তান! বহু বাবা থাকার সুবিধা জানিয়ে মডেল বললেন, আরও সন্তান চাই!"
lifestyle,"মাথায় সিঁদুর, পরনে পশ্চিমি পোশাক!  আমেরিকার র‌্যাম্পে এমন সাজে দেখা দিলেন মডেলরা"
state,ধরনা কেন: দেখুন ভিডিও
entertainment,‘কাস্টিং কাউচ’-এর মুখোমুখি সলমন খান! দক্ষিণী ছবিতে অভিনয় করার সুযোগ এল কী ভাবে?
technology,"বিরাটাকার সৌরকলঙ্কের হদিশ, যা পৃথিবীর জন্য ভালো খবর নয়"
sports,আমদাবাদে বিরাটের শতরানের নেপথ্যে অশ্বিনের মাথা! কোহলিকে কী বলেছিলেন সতীর্থ?
international,মেক্সিকোয় অভিবাসী কেন্দ্রে আগুন লেগে মৃত ৩৯
kolkata,"বহিরাগত প্রবেশে নিয়ন্ত্রণ আনা হোক, বিশ্বভারতীর পরিস্থিতি নিয়ে মামলা আদালতে"
politics,সরকারি অনুষ্ঠানে বিরোধীদের তোপ! অনাস্থা বিতর্কের দু’দিন আগে মোদীর মুখে ‘ভারত ছাড়ো’
state,গরমের থেকে রেহাই পেতে বাঁদর দলের জলকেলি
entertainment,"লাল ফ্রকে মায়ের গা ঘেঁষে দাঁড়িয়ে একরত্তি, চিনতে পারছেন বাংলা সিরিয়ালের নায়িকাকে?"
technology,"প্লে স্টোরে চিনা অ্যাপের ওপর নিষেধাজ্ঞা? ভুয়ো খবর, জানাল কেন্দ্রীয় সরকার"
technology,"দিওয়ালি অফারে পেয়ে যান বাজেট ফেন্ডলি সেরা স্মার্টফোন, রইল ৫টি মডেলের খোঁজ"
politics,"বিরোধী শিবিরে আরও অস্বস্তি, ঘোর বিপাকে লালু-পুত্র তেজস্বী যাদব"
lifestyle,অস্কারের সন্ধ্যায় মালালার পরনে পশ্চিমি পোশাক!  কী বেশে দেখা দিলেন নোবেলজয়ী?
national,'রোডমার্চ কর্মসূচিকে বানচাল করতেই মীরসরাইতে পরিকল্পিত হামলা '
sports,মঙ্গলবারও কি ভারতের ম্যাচে বৃষ্টির সম্ভাবনা? খেলা না হলে কি এই ম্যাচেও রিজার্ভ দিন থাকবে?
international,শুকিয়ে যাচ্ছে পৃথিবীর বড় বড় মিঠা পানির উৎস
sports,"সুপ্রভাত, আজ: কী হচ্ছে, কী হবে, নজরে ৭"
kolkata,"অনলাইনের দাবি খারিজ, অফলাইনেই পরীক্ষা নেবে কলকাতা বিশ্ববিদ্যালয়"
editorial,মানুষ হয়ে ওঠার তাগিদ
politics,সঠিক সময়ে সঠিক সিদ্ধান্ত নিতে ব্যর্থ বিএনপি: জয়
technology,পেটিএমে টাকা লেনদেনে লাগবে না অতিরিক্ত মূল্য
editorial,মার্কিন মসনদে ফিরছেন ট্রাম্প! একনায়কতন্ত্রের প্রত্যাবর্তন দেখবে আমেরিকা?
sports,আর খেলবেন না সাকিব ‘ফেসবুকে স্ট্যাটাস’
editorial,বৃহত্তম গণতন্ত্রের পরীক্ষা শুরু
politics,অর্জুনের বাড়িতে বোমা মারত তৃণমূল-ই? মদনের মন্তব্যে অস্বস্তি বাড়ল জোড়াফুল শিবিরের
editorial,ভারসাম্যহীন নীতির প্রণেতা
kolkata,"ভেঙেচুরে শোচনীয় রাস্তা, তাপ্পি মেরেই দায় সারছে দফতর"
entertainment,"দীপিকা ‘লক্ষ্মী’, ওর জন্যই আমি আজ এখানে : রণবীর সিং"
editorial,পুষ্প হইতে সাবধান
politics,"সতর্ক কংগ্রেস! অভিন্ন দেওয়ানি বিধি ইস্যুতে চড়ছে পারদ, দলের কী অবস্থান?"
politics,"বিজেপি বিধায়কের বাড়িতে ‘যকের ধন’, উদ্ধার কোটি কোটি টাকা, বিরাট ফাঁপরে পদ্মশিবির"
national,চন্দ্রযানের-৩’ অভিযানের নেপথ্যে দুই বাঙালি বিজ্ঞানী
editorial,শেষ কথা?
lifestyle,৭ পরামর্শ: নতুন গাড়ি কেনার  আগে কী জেনে নেবেন? কোন  কথা মাথায় রাখা জরুরি?
international,সীমান্ত সংঘাতে জড়ালো ইরান এবং আফগানিস্তান
sports,২০২৬ সালের বিশ্বকাপ আয়োজক যুক্তরাষ্ট্র-কানাডা-মেক্সিকো
politics,‘ঘরওয়াপসি’র দিনই নাম না করে অধিকারীদের নিশানা করলেন অর্জুন
national,Delhi: রাজ্য সরকার ‘খুন’ করতে সিরিয়াল কিলারের মতো কাজ করে কেন্দ্র! বিস্ফোরক সিসোদিয়া
international,"শরনার্থী শিবিরে আগুন লাগায় দুষ্কৃতিরা, রিপোর্টে জানাল বাংলাদেশ"
kolkata,"সংক্রমণ বাড়ছে শিশুদের, বিধি মানায় জোর স্কুলে"
politics,"দিল্লিতে গ্রেফতার কেজরির মন্ত্রী, আর্থিক নয়ছয়ের অভিযোগ"
technology,Amazon Prime membership: ১২৯ টাকাতেই মিলছে অ্যামাজন প্রাইম
politics,"বিএনপি বিকারগ্রস্ত, উল্টাপাল্টা বক্তব্য দেয়: তথ্যমন্ত্রী"
national,ডেঙ্গুতে প্রাণ গেল আরও ১৪ জনের
technology,জানেন কী কী ফিচার রয়েছে আসন্ন OnePlus 6Tতে ?
sports,"বিরাট জামাই, শাহরুখ শ্বশুর! বিশ্বকাপের আগে কোহলিকে নিজের ‘দামাদ’ করলেন বাদশা!"
international,'যুদ্ধ এবার রাশিয়ার দিকে যাচ্ছে' - মস্কোতে ড্রোন হামলার পর জেলেনস্কি
sports,ধোনির বুদ্ধিতে সময় চুরি! হার্দিকদের হারিয়ে আইপিএলের ফাইনালে উঠতে কী করলেন মাহি?
technology,"উৎসবের মরশুমে নামমাত্র দামে পেয়ে যান সাধের স্মার্টফোন, দেখুন দুর্দান্ত অফার"
entertainment,"আন্তর্জাতিক সিরিজ়ে ঈশান খট্টর, তাঁর সঙ্গে অভিনয় করবেন কোন জনপ্রিয় হলিউড অভিনেত্রী?"
editorial,একটা জরুরি খবর
editorial,"শিক্ষা হোক এমন, যা খুলবে মনের দোর"
international,৭ মাত্রার ভয়াবহ ভূমিকম্পে কাঁপল ইন্দোনেশিয়া
sports,"অস্ত্রোপচার সফল, এক দিনের বিশ্বকাপে রোহিতদের দলে খেলতে পারবেন এই ব্যাটার?"
sports,"এশিয়াডে ১১ পদক, ক্রিকেটে ইতিহাস ভারতের, দ্বিতীয় দিনে বাঙালির গলায় সোনা, খাতা খুলল শুটিংও"
entertainment,১৫ দিনে ৪৫০ কোটি! ‘বিক্রম’কে পিছনে ফেলে দক্ষিণের নতুন রেকর্ড গড়ল ‘পোন্নিয়িন সেলভান ১’
lifestyle,৩ টোটকা: কোনও রকম ঝক্কি ছাড়াই দূর হবে  টিফিন বাক্সের দুর্গন্ধ
politics,৩০০ ইউনিট বিদ্যুৎ একেবারে ফ্রি! বিরাট ঘোষণা কেজরিওয়ালের
technology,"নোকিয়া সিক্স সেল, কেনার আগে জেনে নিন ফোনের গুণাবলী"
editorial,লক্ষ্মীহীন
state,উত্তরকন্যা অভিযানের থিম সং উদ্বোধন যুবদের
entertainment,হাউমাউ করে কাঁদলেন পরীমণি
editorial,থোড়াই কেয়ার!
sports,ভারত-পাকিস্তান ম্যাচের টিকিটের দাম সাড়ে ১৯ লাখ! ভারত-অস্ট্রেলিয়া ম্যাচের টিকিট ৯ লাখ
international,গাজায় রক্তপাত বন্ধের দাবিতে মিছিল করল এআইপিএসও
state,চাকরি খোয়ালেন এবার  তৃণমূল পঞ্চায়েত প্রধান
sports,"শনিবার ভারত-পাকিস্তান ম্যাচ অনিশ্চিত, রোহিত-বাবরদের লড়াই নিয়ে বিরাট সংশয়"
lifestyle,মেদ ঝরাতে রোজ জিমে যাচ্ছেন? রান্নাঘরে কোন ৫ বদল না আনলে ওজন কমবে না?
state,নিখোঁজ স্ত্রী ও সন্তানদের নিয়ে বাড়ির ফিরলেন ছত্তিশগড়ের বাসিন্দা
editorial,আশঙ্কায় কাঁপছে শেয়ার বাজার! আদানিরা ডুবলে বিরাট ধাক্কা খাবে দেশের অর্থনীতি
sports,দ্বিতীয় টেস্টে বিশাল ব্যবধানে হারল বাংলাদেশ
technology,লোকসভা উনিশের আগে রাজনৈতিক বিজ্ঞাপনে তথ্য উন্মুক্ত রাখবে গুগল
editorial,"পাকদণ্ডী পথ বেয়ে টয়ট্রেন, উত্তরের স্মৃতিমেদুর কবিতা"
national,বাস্তব পদক্ষেপ নিলে তবেই ঘরে ফিরবে লং মার্চ
national,কেন প্রজ্ঞা সিং ঠাকুরের বিরুদ্ধে বিজেপি কোন ব্যবস্থা নেয় না?
international,বিশ্বজুড়ে করোনায় ফের বেড়েছে মৃত্যু
state,"আত্মঘাতী হতে পারেন, আতঙ্কে কৃষকের পরিবার, ডাক রাজভবন অভিযানের"
international,স্বাস্থ্যের হাল ফেরাতে প্রয়োজন বৈষম্যে লাগাম টানা
technology,Moto-Jio অংশীদারিত্ব! নির্বাচিত ‘সাশ্রয়ী মূল্যের’ স্মার্টফোনে মিলবে 5G পরিষেবা
state,লিপ্স এন্ড বাউন্ডসের ডিরেক্টরদের সম্পত্তির বিবরণ চাইলো আদালত
kolkata,"প্রয়াত কেকে, পরিবার পৌঁছল কলকাতায়"
sports,"বিশ্বচ্যাম্পিয়নশিপে ব্রোঞ্জ জয়ের সুফল, ক্রমতালিকায় জীবনের সেরা জায়গায় প্রণয়"
kolkata,"বজ্রবিদ্যুৎ-সহ ঝড়বৃষ্টি আসছে কলকাতা এবং পাঁচ জেলায়, পূর্বাভাস আবহাওয়া দফতরের"
